location_id,window_start,window_end,pm25_avg,samples
2992887,2024-11-21 12:45:00,2024-11-21 13:00:00,13.75,1
2897761,2024-11-23 00:00:00,2024-11-23 00:15:00,0.06666666766007741,1
2877975,2024-11-30 01:00:00,2024-11-30 01:15:00,6.054166595141093,1
2146563,2024-12-09 12:00:00,2024-12-09 12:15:00,6.0,1
2983073,2024-12-10 07:00:00,2024-12-10 07:15:00,0.030666666105389595,1
2578982,2024-12-19 15:00:00,2024-12-19 15:15:00,12.6,1
8667,2024-12-20 14:00:00,2024-12-20 14:15:00,2.9,1
2993585,2025-01-02 14:00:00,2025-01-02 14:15:00,9.585958321889242,1
10819,2025-01-05 08:00:00,2025-01-05 08:15:00,3.3,1
2956512,2025-01-05 19:45:00,2025-01-05 20:00:00,8.0,1
2954096,2025-01-08 11:45:00,2025-01-08 12:00:00,6.3,1
2578986,2025-01-08 12:00:00,2025-01-08 12:15:00,15.7,1
2578968,2025-01-08 12:00:00,2025-01-08 12:15:00,28.2,1
2895188,2025-01-08 12:00:00,2025-01-08 12:15:00,8.8,1
2578980,2025-01-08 12:00:00,2025-01-08 12:15:00,6.8,1
2578984,2025-01-08 12:00:00,2025-01-08 12:15:00,7.5,1
2578964,2025-01-08 12:00:00,2025-01-08 12:15:00,9.2,1
2578979,2025-01-08 12:00:00,2025-01-08 12:15:00,10.6,1
2578967,2025-01-08 12:00:00,2025-01-08 12:15:00,6.1,1
2578976,2025-01-08 12:00:00,2025-01-08 12:15:00,7.0,1
2876866,2025-01-08 12:00:00,2025-01-08 12:15:00,16.0,1
2578983,2025-01-08 12:00:00,2025-01-08 12:15:00,8.1,1
2578987,2025-01-08 12:00:00,2025-01-08 12:15:00,6.1,1
2578971,2025-01-08 12:00:00,2025-01-08 12:15:00,4.4,1
2578969,2025-01-08 12:00:00,2025-01-08 12:15:00,14.1,1
2578970,2025-01-08 12:00:00,2025-01-08 12:15:00,14.6,1
2578975,2025-01-08 12:00:00,2025-01-08 12:15:00,6.5,1
2578966,2025-01-08 12:00:00,2025-01-08 12:15:00,0.0,1
2578963,2025-01-08 12:00:00,2025-01-08 12:15:00,17.4,1
2578965,2025-01-08 12:00:00,2025-01-08 12:15:00,7.7,1
304222,2025-01-08 17:00:00,2025-01-08 17:15:00,2.82,1
2892210,2025-01-08 17:00:00,2025-01-08 17:15:00,3.86,1
10676,2025-01-08 17:00:00,2025-01-08 17:15:00,8.97,1
2977814,2025-01-08 17:15:00,2025-01-08 17:30:00,27.01,1
2953982,2025-01-13 23:00:00,2025-01-13 23:15:00,0.0,1
2896758,2025-01-22 15:15:00,2025-01-22 15:30:00,18.65,1
2994635,2025-02-13 21:00:00,2025-02-13 21:15:00,0.5782916694879532,1
2956818,2025-02-13 21:00:00,2025-02-13 21:15:00,4.438749988873799,1
3003472,2025-02-21 22:00:00,2025-02-21 22:15:00,0.35808333692451316,1
2894237,2025-02-24 07:00:00,2025-02-24 07:15:00,4.25898806254069,1
2877118,2025-02-27 22:45:00,2025-02-27 23:00:00,2.94,1
8893,2025-03-04 12:00:00,2025-03-04 12:15:00,77.0,1
2941876,2025-03-07 16:45:00,2025-03-07 17:00:00,4.77,1
10714,2025-03-14 21:00:00,2025-03-14 21:15:00,30.393,1
2871295,2025-03-16 14:00:00,2025-03-16 14:15:00,8.870833198229471,1
368400,2025-03-19 21:00:00,2025-03-19 21:15:00,29.3,1
6944,2025-03-28 06:15:00,2025-03-28 06:30:00,0.0,1
2979269,2025-03-30 02:00:00,2025-03-30 02:15:00,0.0,1
3000683,2025-03-31 04:00:00,2025-03-31 04:15:00,1.2471666634082794,1
2827390,2025-04-02 05:00:00,2025-04-02 05:15:00,52.916666666666664,1
2999203,2025-04-05 01:45:00,2025-04-05 02:00:00,5.3,1
480397,2025-04-10 14:00:00,2025-04-10 14:15:00,29.9700267,1
2884565,2025-04-11 16:00:00,2025-04-11 16:15:00,16.612337719310414,1
2960635,2025-04-15 01:30:00,2025-04-15 01:45:00,30.35,1
2999204,2025-04-15 16:00:00,2025-04-15 16:15:00,10.33,1
3001486,2025-05-04 21:00:00,2025-05-04 21:15:00,1.5570833285649617,1
2960642,2025-05-13 04:15:00,2025-05-13 04:30:00,16.42,1
2960623,2025-05-13 11:00:00,2025-05-13 11:15:00,12.44,1
2977853,2025-05-31 12:00:00,2025-05-31 12:15:00,12.915083249409994,1
2960671,2025-06-04 03:45:00,2025-06-04 04:00:00,9.51,1
2961297,2025-06-12 13:00:00,2025-06-12 13:15:00,3.071727232499556,1
2896754,2025-06-13 04:15:00,2025-06-13 04:30:00,9.23,1
2960627,2025-06-19 00:00:00,2025-06-19 00:15:00,8.83,1
2960637,2025-06-19 00:00:00,2025-06-19 00:15:00,9.8,1
3431596,2025-06-21 01:00:00,2025-06-21 01:15:00,18.355090748180043,1
2881925,2025-06-23 20:00:00,2025-06-23 20:15:00,1.3310909162868152,1
2960654,2025-06-24 11:45:00,2025-06-24 12:00:00,7.89,1
2960655,2025-06-24 11:45:00,2025-06-24 12:00:00,9.26,1
2960631,2025-06-25 09:30:00,2025-06-25 09:45:00,12.34,1
2960657,2025-06-25 15:45:00,2025-06-25 16:00:00,35.9,1
2967069,2025-07-08 02:00:00,2025-07-08 02:15:00,0.6225000023841858,1
3423890,2025-07-08 17:00:00,2025-07-08 17:15:00,23.0,1
2959755,2025-07-09 23:00:00,2025-07-09 23:15:00,4.0,1
2960620,2025-07-11 12:30:00,2025-07-11 12:45:00,12.2,1
2960622,2025-07-11 12:30:00,2025-07-11 12:45:00,13.18,1
3439881,2025-07-11 16:00:00,2025-07-11 16:15:00,5.738666693369548,1
3430567,2025-07-17 22:00:00,2025-07-17 22:15:00,3.6794583797454834,1
3010310,2025-07-19 18:00:00,2025-07-19 18:15:00,16.170000076293945,1
2623729,2025-07-30 00:00:00,2025-07-30 00:15:00,7.0,1
2622897,2025-07-30 00:00:00,2025-07-30 00:15:00,16.0,1
2623383,2025-07-30 00:00:00,2025-07-30 00:15:00,16.0,1
3420999,2025-08-06 15:00:00,2025-08-06 15:15:00,37.268472035725914,1
2979495,2025-08-08 15:15:00,2025-08-08 15:30:00,91.9,1
1772963,2025-08-09 14:00:00,2025-08-09 14:15:00,9.0,1
2868408,2025-08-11 22:00:00,2025-08-11 22:15:00,20.536428451538086,1
12043,2025-08-29 02:00:00,2025-08-29 02:15:00,985.0,1
6967,2025-08-29 13:00:00,2025-08-29 13:15:00,22.0,1
358665,2025-08-30 07:45:00,2025-08-30 08:00:00,4.06,1
3431594,2025-09-01 18:00:00,2025-09-01 18:15:00,2.0228333473205566,1
2913749,2025-09-02 13:45:00,2025-09-02 14:00:00,5.11,1
2877112,2025-09-03 04:00:00,2025-09-03 04:15:00,5.24,1
2877113,2025-09-03 04:30:00,2025-09-03 04:45:00,4.83,1
358699,2025-09-03 06:00:00,2025-09-03 06:15:00,13.05,1
358457,2025-09-03 07:00:00,2025-09-03 07:15:00,40.0,1
